method,x,approx,exact,abs_error,rel_error
Heun,1.350000000000001,0.65635256347858495,0.65635550717671687,2.9436981319186373E-06,4.4849343107878061E-06
Heun,1.360000000000001,0.65520342731850856,0.65520635250104586,2.9251825373055595E-06,4.4645409583359289E-06
Heun,1.370000000000001,0.65405840466394705,0.65406131150305558,2.9068391085296241E-06,4.444311223281578E-06
Heun,1.380000000000001,0.65291746210675461,0.65292035077349397,2.8886667393646093E-06,4.4242448808825102E-06
Heun,1.390000000000001,0.65178056723343736,0.65178343789772475,2.8706642873910226E-06,4.4043416323010513E-06
Heun,1.400000000000001,0.65064768858019673,0.65065054141077427,2.852830577548815E-06,4.3846011099710293E-06
Heun,1.410000000000001,0.64951879559006576,0.64952163075447045,2.835164404690893E-06,4.3650228814629493E-06
Heun,1.420000000000001,0.64839385857203957,0.64839667623657538,2.8176645358035657E-06,4.3456064528570945E-06
Heun,1.430000000000001,0.6472728486621061,0.64727564899181844,2.8003297123380122E-06,4.326351272305352E-06
Heun,1.4400000000000011,0.64615573778608693,0.6461585209447408,2.7831586538740183E-06,4.3072567356747622E-06
Heun,1.4500000000000011,0.64504249862420426,0.64504526477426294,2.7661500586750876E-06,4.288322187413919E-06
Heun,1.4600000000000011,0.64393310457729236,0.64393585387989893,2.7493026065750215E-06,4.2695469250331396E-06
Heun,1.4700000000000011,0.64282752973457613,0.64283026234953722,2.7326149610873429E-06,4.2509302024069209E-06
Heun,1.4800000000000011,0.64172574884294442,0.64172846492871538,2.7160857709596087E-06,4.2324712322309227E-06
Heun,1.4900000000000011,0.64062773727764688,0.6406304369913185,2.6997136716166992E-06,4.2141691883170028E-06
Heun,1.5000000000000011,0.63953347101434943,0.63953615451163737,2.6834972879363761E-06,4.1960232099817111E-06
Heun,1.5100000000000011,0.63844292660248392,0.63844559403771839,2.667435234471327E-06,4.1780324024674521E-06
Heun,1.5200000000000011,0.63735608113983189,0.63735873266594956,2.6515261176696114E-06,4.1601958404910603E-06
Heun,1.5300000000000011,0.63627291224828531,0.63627554801682318,2.6357685378730622E-06,4.1425125714679761E-06
Heun,1.5400000000000011,0.63519339805072972,0.6351960182118187,2.6201610889842186E-06,4.1249816150875038E-06
Heun,1.5500000000000012,0.63411751714899711,0.63412012185135802,2.6047023609088171E-06,4.1076019672498598E-06
Heun,1.5600000000000012,0.63304524860283984,0.63304783799378084,2.5893909409990812E-06,4.0903726024545435E-06
Heun,1.5700000000000012,0.63197657190987711,0.63197914613529116,2.5742254140537213E-06,4.0732924739191414E-06
Heun,1.5800000000000012,0.63091146698647038,0.63091402619083459,2.5592043642053142E-06,4.0563605166811705E-06
Heun,1.5900000000000012,0.62984991414948388,0.62985245847585913,2.5443263752533696E-06,4.0395756482543843E-06
Heun,1.6000000000000012,0.62879189409888925,0.62879442368892169,2.5295900324406873E-06,4.022936771578137E-06
Heun,1.6100000000000012,0.62773738790117639,0.62773990289509884,2.5149939224533568E-06,4.0064427751582132E-06
Heun,1.6200000000000012,0.62668637697353236,0.62668887751016733,2.5005366349750702E-06,3.9900925356810152E-06
Heun,1.6300000000000012,0.62563884306875306,0.62564132928551552,2.4862167624650766E-06,3.973884917806901E-06
Heun,1.6400000000000012,0.62459476826085447,0.62459724029375641,2.47203290193454E-06,3.957818777153326E-06
Heun,1.6500000000000012,0.62355413493135137,0.62355659291500654,2.457983655168583E-06,3.9418929608079477E-06
Heun,1.6600000000000013,0.62251692575617168,0.62251936982380063,2.4440676289483321E-06,3.9261063078397778E-06
Heun,1.6700000000000013,0.62148312369317882,0.62148555397661487,2.430283436050118E-06,3.9104576510591287E-06
Heun,1.6800000000000013,0.62045271197027296,0.62045512859996887,2.4166296959116096E-06,3.8949458182518099E-06
Heun,1.6900000000000013,0.61942567407404547,0.61942807717908033,2.4031050348538585E-06,3.8795696327023632E-06
Heun,1.7000000000000013,0.61840199373896032,0.61840438344704718,2.3897080868584553E-06,3.8643279146140631E-06
