method,x,approx,exact,abs_error,rel_error
Euler,1.380000000000001,0.65122503882289284,0.65292035077349397,0.0016953119506011305,0.0026032659212020678
Euler,1.390000000000001,0.65009512495882393,0.65178343789772475,0.0016883129389008156,0.0025970244570096583
Euler,1.400000000000001,0.64896915831735746,0.65065054141077427,0.0016813830934168106,0.0025908520795907904
Euler,1.410000000000001,0.64784710914997012,0.64952163075447045,0.0016745216045003231,0.00258474813092465
Euler,1.420000000000001,0.64672894857021423,0.64839667623657538,0.0016677276663611407,0.002578711947328392
Euler,1.430000000000001,0.64561464851433548,0.64727564899181844,0.0016610004774829656,0.0025727428603195394
Euler,1.4400000000000011,0.64450418170373402,0.6461585209447408,0.0016543392410067748,0.0025668401974267441
Euler,1.4500000000000011,0.64339752160918129,0.64504526477426294,0.0016477431650816499,0.0025610032829478909
Euler,1.4600000000000011,0.64229464241671075,0.64393585387989893,0.0016412114631881858,0.0025552314386633065
Euler,1.4700000000000011,0.64119551899510263,0.64283026234953722,0.0016347433544345868,0.002549523984504129
Euler,1.4800000000000011,0.64010012686488837,0.64172846492871538,0.0016283380638270062,0.002543880239178134
Euler,1.4900000000000011,0.63900844216880348,0.6406304369913185,0.001621994822515016,0.0025382995207542847
Euler,1.5000000000000011,0.63792044164362038,0.63953615451163737,0.001615712868016983,0.0025327811472133613
Euler,1.5100000000000011,0.63683610259329704,0.63844559403771839,0.0016094914444213515,0.0025273244369583454
Euler,1.5200000000000011,0.63575540286337917,0.63735873266594956,0.0016033298025703857,0.0025219287092947185
Euler,1.5300000000000011,0.6346783208165987,0.63627554801682318,0.0015972272002244825,0.0025165932848776615
Euler,1.5400000000000011,0.63360483530961065,0.6351960182118187,0.0015911829022080548,0.0025113174861276497
Euler,1.5500000000000012,0.6325349256708177,0.63412012185135802,0.0015851961805403159,0.002506100637619621
Euler,1.5600000000000012,0.63146857167922954,0.63304783799378084,0.0015792663145512975,0.0025009420664462234
Euler,1.5700000000000012,0.63040575354431061,0.63197914613529116,0.0015733925909805491,0.0024958411025510362
Euler,1.5800000000000012,0.62934645188676885,0.63091402619083459,0.0015675743040657331,0.0024907970790431482
Euler,1.5900000000000012,0.62829064772024301,0.62985245847585913,0.001561810755616122,0.0024858093324851534
Euler,1.6000000000000012,0.62723832243384559,0.62879442368892169,0.0015561012550761033,0.0024808772031626371
Euler,1.6100000000000012,0.62618945777552271,0.62773990289509884,0.0015504451195761382,0.0024760000353310704
Euler,1.6200000000000012,0.62514403583619282,0.62668887751016733,0.0015448416739745063,0.0024711771774453958
Euler,1.6300000000000012,0.62410203903462758,0.62564132928551552,0.001539290250887948,0.0024664079823692778
Euler,1.6400000000000012,0.62306345010304109,0.62459724029375641,0.0015337901907153118,0.0024616918075705714
Euler,1.6500000000000012,0.62202825207335499,0.62355659291500654,0.0015283408416515432,0.0024570280152987453
Euler,1.6600000000000013,0.6209964282641075,0.62251936982380063,0.0015229415596931251,0.0024524159727460199
Euler,1.6700000000000013,0.61996796226797701,0.62148555397661487,0.0015175917086378554,0.0024478550521968528
Euler,1.6800000000000013,0.61894283793989191,0.62045512859996887,0.0015122906600769648,0.0024433446311625784
Euler,1.6900000000000013,0.61792103938569931,0.61942807717908033,0.0015070377933810164,0.0024388840925035093
Euler,1.7000000000000013,0.61690255095136737,0.61840438344704718,0.0015018324956798113,0.002434472824538873
Euler,1.7100000000000013,0.61588735721269594,0.61738403137453246,0.0014966741618365198,0.0024301102211449445
Euler,1.7200000000000013,0.61487544296551278,0.61636700515993104,0.0014915621944182611,0.0024257956818449816
Euler,1.7300000000000013,0.61386679321633253,0.61535328921999266,0.0014864960036601316,0.0024215286118861234
Euler,1.7400000000000013,0.61286139317345723,0.61434286818088268,0.001481475007425459,0.0024173084223077491
Euler,1.7500000000000013,0.61185922823849792,0.61333572686966087,0.001476498631162948,0.0024131345300024147
Euler,1.7600000000000013,0.61086028399829817,0.61233185030615789,0.0014715663078597174,0.0024090063577677564
Euler,1.7700000000000014,0.60986454621724095,0.6113312236952313,0.0014666774779903413,0.0024049233343495483
Euler,1.7800000000000014,0.60887200082992121,0.61033383241938399,0.0014618315894627809,0.002400884894477387
Euler,1.7900000000000014,0.60788263393416697,0.60933966203172962,0.0014570280975626515,0.0023968904788953817
Euler,1.8000000000000014,0.60689643178439301,0.6083486982492875,0.0014522664648944916,0.0023929395343857056
Euler,1.8100000000000014,0.60591338078527279,0.60736092694659216,0.0014475461613193685,0.0023890315137839128
Euler,1.8200000000000014,0.6049334674857122,0.6063763341496039,0.0014428666638917065,0.0023851658759907928
Euler,1.8300000000000014,0.60395667857311242,0.60539490602990609,0.0014382274567936726,0.0023813420859780539
Euler,1.8400000000000014,0.60298300086790857,0.60441662889917758,0.0014336280312690075,0.0023775596147909694
Euler,1.8500000000000014,0.60201242131837063,0.60344148920392326,0.0014290678855526373,0.0023738179395419541
Euler,1.8600000000000014,0.60104492699565526,0.60246947352045688,0.0014245465248016176,0.0023701165434042754
Euler,1.8700000000000014,0.60008050508909705,0.6015005685501198,0.0014200634610227469,0.0023664549155982041
Euler,1.8800000000000014,0.59911914290172685,0.60053476111472792,0.0014156182130010686,0.0023628325513766328
Euler,1.8900000000000015,0.59816082784600866,0.59957203815223448,0.0014112103062258186,0.002359248952004464
Euler,1.9000000000000015,0.59720554743978316,0.59861238671259942,0.0014068392728162626,0.0023557036247358631
Euler,1.9100000000000015,0.59625328930240928,0.59765579395385593,0.0014025046514466455,0.0023521960827880975
Euler,1.9200000000000015,0.59530404115109448,0.59670224713836517,0.0013982059872706953,0.0023487258453127415
Euler,1.9300000000000015,0.59435779079740503,0.59575173362925105,0.0013939428318460179,0.0023452924373648233
Euler,1.9400000000000015,0.59341452614394741,0.59480424088700423,0.0013897147430568246,0.0023418953898673434
Euler,1.9500000000000015,0.59247423518121378,0.59385975646625166,0.0013855212850378829,0.0023385342395760185
Euler,1.9600000000000015,0.59153690598458297,0.59291826801268033,0.0013813620280973549,0.0023352085290403789
Euler,1.9700000000000015,0.59060252671147029,0.59197976326011126,0.0013772365486409699,0.0023319178065653577
Euler,1.9800000000000015,0.58967108559861925,0.591044230027712,0.0013731444290927541,0.0023286616261653263
Euler,1.9900000000000015,0.5887425709595282,0.59011165621734851,0.0013690852578203128,0.0023254395475241206
Euler,2.0000000000000013,0.58781697118200582,0.5891820298110626,0.0013650586290567812,0.0023222511359477539
