method,x,approx,exact,abs_error,rel_error
RungeKutta4,0.90000000000000058,0.71319594102649475,0.71319594103271755,6.2228000530240024E-12,8.7252320085663946E-12
RungeKutta4,0.91000000000000059,0.71179583304654381,0.71179583305276739,6.22357720914124E-12,8.7434864327651732E-12
RungeKutta4,0.9200000000000006,0.71040381546803377,0.71040381547425668,6.2229110753264649E-12,8.7596813809715235E-12
RungeKutta4,0.9300000000000006,0.70901969502584039,0.70901969503206119,6.2208016515796771E-12,8.7738065602718668E-12
RungeKutta4,0.94000000000000061,0.70764328698655332,0.70764328699277068,6.2173599602033391E-12,8.7860085364188325E-12
RungeKutta4,0.95000000000000062,0.70627441473657793,0.70627441474279073,6.212808045802376E-12,8.7965922539040197E-12
RungeKutta4,0.96000000000000063,0.70491290939090046,0.7049129093971076,6.2071459083767877E-12,8.8055500554532962E-12
RungeKutta4,0.97000000000000064,0.70355860942142756,0.70355860942762805,6.2004845702290368E-12,8.8130320448043611E-12
RungeKutta4,0.98000000000000065,0.70221136030387343,0.70221136031006592,6.1924909644517356E-12,8.8185570819760163E-12
RungeKutta4,0.99000000000000066,0.70087101418222419,0.70087101418840791,6.1837202025571969E-12,8.8229076070043455E-12
RungeKutta4,1.0000000000000007,0.69953742954986275,0.69953742955603637,6.173617173033108E-12,8.8252849844013307E-12
RungeKutta4,1.0100000000000007,0.69821047094648958,0.69821047095265254,6.1629590319967065E-12,8.8267926197701386E-12
RungeKutta4,1.0200000000000007,0.69689000867001949,0.6968900086761709,6.1514127125406048E-12,8.8269492115122668E-12
RungeKutta4,1.0300000000000007,0.69557591850268274,0.69557591850882194,6.1392002592697281E-12,8.8260678611260027E-12
RungeKutta4,1.0400000000000007,0.69426808145059793,0.69426808145672392,6.1259886052766888E-12,8.8236644733502639E-12
RungeKutta4,1.0500000000000007,0.69296638349612572,0.69296638350223783,6.1121108174688743E-12,8.8202125861175295E-12
RungeKutta4,1.0600000000000007,0.69167071536235014,0.69167071536844771,6.0975668958462848E-12,8.8157077644264747E-12
RungeKutta4,1.0700000000000007,0.69038097228906725,0.69038097229514972,6.0824678627113826E-12,8.8103063480211503E-12
RungeKutta4,1.0800000000000007,0.68909705381969688,0.68909705382576347,6.0665916734592429E-12,8.8036824999205044E-12
RungeKutta4,1.0900000000000007,0.68781886359856348,0.68781886360461386,6.0503824172997156E-12,8.7964764235238288E-12
RungeKutta4,1.1000000000000008,0.68654630917801995,0.68654630918405346,6.0335070273254132E-12,8.7882010968045834E-12
RungeKutta4,1.1100000000000008,0.68527930183492025,0.68527930184093644,6.0161875481412608E-12,8.7791759243744457E-12
RungeKutta4,1.1200000000000008,0.6840177563959684,0.68401775640196694,5.9985350020497208E-12,8.7695603600343558E-12
RungeKutta4,1.1300000000000008,0.6827615910714997,0.68276159107747991,5.9802163221434057E-12,8.7588645880889186E-12
RungeKutta4,1.1400000000000008,0.68151072729727136,0.68151072730323292,5.9615645753297031E-12,8.7475726155801213E-12
RungeKutta4,1.1500000000000008,0.68026508958386389,0.68026508958980647,5.9425797616086129E-12,8.7356823870586179E-12
