t,x_true,x_pinn
2.1285475792988313,-0.35807182052882425,-0.3325302302837372
2.1535893155258763,-0.328562824988198,-0.30255231261253357
2.1786310517529217,-0.29852806993388575,-0.27216795086860657
2.2036727879799667,-0.2680477415256285,-0.2414531111717224
2.2287145242070117,-0.23720233857660428,-0.21048294007778168
2.2537562604340566,-0.20607246856768416,-0.17933110892772675
2.278797996661102,-0.17473864542357986,-0.14807282388210297
2.303839732888147,-0.14328108953795898,-0.11678624898195267
2.328881469115192,-0.11177953052408598,-0.08555103093385696
2.353923205342237,-0.08031301315604884,-0.05445012077689171
2.3789649415692824,-0.04895970695299381,-0.023566436022520065
2.4040066777963274,-0.017796719845207785,0.007018198259174824
2.4290484140233723,0.013100083653668396,0.037225205451250076
2.4540901502504173,0.04365625935949577,0.06698121875524521
2.4791318864774623,0.07379895502308587,0.09621723741292953
2.5041736227045077,0.10345707625294515,0.12486974149942398
2.5292153589315527,0.13256144639790376,0.152879536151886
2.5542570951585977,0.1610449600508969,0.18018995225429535
2.5792988313856426,0.18884272985441003,0.20674613118171692
2.604340567612688,0.21589222630803798,0.23249629139900208
2.629382303839733,0.24213341029903784,0.2573903501033783
2.654424040066778,0.26750885809769503,0.28138139843940735
2.679465776293823,0.2919638785807051,0.3044261038303375
2.704507512520868,0.3154466224675164,0.3264862298965454
2.7295492487479134,0.3379081833766711,0.347526490688324
2.7545909849749584,0.359302690531491,0.36751824617385864
2.7796327212020033,0.3795873929670183,0.3864336907863617
2.8046744574290483,0.39872273511278933,0.4042489230632782
2.8297161936560937,0.4166724236487886,0.4209401607513428
2.8547579298831387,0.4334034855547422,0.43648532032966614
2.8797996661101837,0.44888631729566725,0.4508605897426605
2.9048414023372287,0.46309472510928834,0.4640435576438904
2.929883138564274,0.47600595638347637,0.4760120213031769
2.954924874791319,0.48760072213421296,0.48674413561820984
2.979966611018364,0.49786321061669764,0.49622127413749695
3.005008347245409,0.5067810921239957,0.5044276714324951
3.030050083472454,0.514345515049095,0.5113513469696045
3.0550918196994994,0.5205510933072627,0.5169851183891296
3.0801335559265444,0.5253958852362048,0.5213263034820557
3.1051752921535893,0.5288813641116126,0.5243779420852661
3.1302170283806343,0.5310123804352366,0.5261462926864624
3.1552587646076797,0.5317971161715935,0.5266424417495728
3.1803005008347247,0.5312470311277412,0.5258793830871582
3.2053422370617697,0.5293768016882345,0.5238728523254395
3.2303839732888147,0.5262042521343254,0.5206390619277954
3.2554257095158596,0.5217502787927016,0.5161951780319214
3.280467445742905,0.5160387672744994,0.5105586051940918
3.30550918196995,0.5090965030799744,0.5037462115287781
3.330550918196995,0.5009530758580212,0.49577566981315613
3.35559265442404,0.49164077762268327,0.48666608333587646
3.3806343906510854,0.4811944952408655,0.47643813490867615
3.4056761268781304,0.4696515975166221,0.46511563658714294
3.4307178631051753,0.4570518172076329,0.45272746682167053
3.4557595993322203,0.44343712831878607,0.43930694460868835
3.4808013355592653,0.42885161902612595,0.4248926341533661
3.5058430717863107,0.41334136059181575,0.4095288813114166
3.5308848080133557,0.396954272637164,0.3932659327983856
3.5559265442404007,0.3797399851462019,0.3761570155620575
3.5809682804674456,0.3617496975767435,0.35825973749160767
3.606010016694491,0.3430360354593121,0.33963194489479065
3.631051752921536,0.323652904866811,0.3203328549861908
3.656093489148581,0.3036553451392913,0.3004203736782074
3.681135225375626,0.2830993802487198,0.27995169162750244
3.7061769616026714,0.26204186918817796,0.25898340344429016
3.7312186978297164,0.24054035576855484,0.2375715970993042
3.7562604340567614,0.21865291820343202,0.21577328443527222
3.7813021702838063,0.19643801885960888,0.19364717602729797
3.8063439065108513,0.1739543545465405,0.17125451564788818
3.8313856427378967,0.15126070771288147,0.14865738153457642
3.8564273789649417,0.1284157989124194,0.12591928243637085
3.8814691151919867,0.1054781408948732,0.10310308635234833
3.9065108514190316,0.08250589466946726,0.08026895672082901
3.931552587646077,0.05955672788077573,0.057474661618471146
3.956594323873122,0.03668767582718882,0.03477499261498451
3.981636060100167,0.01395500544246813,0.012221512384712696
4.006677796327212,-0.008585917449736882,-0.010135921649634838
4.031719532554257,-0.03088075730978401,-0.03224928304553032
4.056761268781302,-0.05287633419762029,-0.054071348160505295
4.081803005008347,-0.07452074495580255,-0.07555755227804184
4.106844741235393,-0.09576347999874665,-0.09666561335325241
4.131886477462437,-0.116555535460581,-0.11735450476408005
4.156928213689483,-0.1368495204680242,-0.13758517801761627
4.181969949916527,-0.1565997593191723,-0.15731924772262573
4.207011686143573,-0.17576238836402994,-0.17651523649692535
4.232053422370618,-0.19429544739781282,-0.19513007998466492
4.257095158597663,-0.21215896539368712,-0.21311832964420319
4.282136894824708,-0.22931504041740935,-0.23043106496334076
4.307178631051753,-0.2457279135824491,-0.24701988697052002
4.332220367278798,-0.26136403692045945,-0.2628379166126251
4.357262103505843,-0.27619213505836243,-0.27784010767936707
4.382303839732888,-0.2901832606098952,-0.2919865548610687
4.407345575959933,-0.30331084320602714,-0.30524101853370667
4.432387312186979,-0.3155507321053057,-0.31757089495658875
4.457429048414023,-0.32688123234179484,-0.3289479613304138
4.482470784641069,-0.33728313438481616,-0.33934643864631653
4.507512520868113,-0.34673973730113755,-0.34874245524406433
4.532554257095159,-0.3552368654265853,-0.3571159541606903
4.557595993322204,-0.36276287857015777,-0.36444899439811707
4.582637729549249,-0.36930867578964355,-0.3707260489463806
4.607679465776294,-0.3748676927933939,-0.3759356737136841
4.632721202003339,-0.37943589303825287,-0.38007044792175293
4.657762938230384,-0.38301175260869535,-0.38312673568725586
4.682804674457429,-0.3855962389768782,-0.38510504364967346
4.707846410684474,-0.387192783757596,-0.38601088523864746
4.732888146911519,-0.38780724958597673,-0.38585397601127625
4.757929883138565,-0.3874478912591411,-0.3846476674079895
4.782971619365609,-0.3861253112959647,-0.38240984082221985
4.808013355592655,-0.38385241008146237,-0.37916046380996704
4.833055091819699,-0.380644330774177,-0.3749223053455353
4.858096828046745,-0.3765183991662407,-0.3697208762168884
4.88313856427379,-0.3714940586964809,-0.36358335614204407
4.908180300500835,-0.3655928008270427,-0.3565386235713959
4.93322203672788,-0.3588380910034695,-0.34861814975738525
4.958263772954925,-0.351255290427013,-0.33985403180122375
4.98330550918197,-0.34287157387611267,-0.330282062292099
5.008347245409015,-0.33371584382148484,-0.31993845105171204
5.03338898163606,-0.3238186410860693,-0.30886074900627136
5.058430717863105,-0.31321205230719773,-0.2970884144306183
5.08347245409015,-0.30192961446377664,-0.2846606373786926
5.108514190317195,-0.29000621673595706,-0.27161744236946106
5.133555926544241,-0.2774779999687816,-0.25799980759620667
5.158597662771285,-0.26438225401454984,-0.24384859204292297
5.183639398998331,-0.2507573132312066,-0.22920557856559753
5.208681135225376,-0.2366424504159056,-0.2141149342060089
5.233722871452421,-0.22207776945400162,-0.19862177968025208
5.258764607679466,-0.2071040969641521,-0.18277278542518616
5.283806343906511,-0.19176287321992228,-0.1666170060634613
5.308848080133556,-0.176096042627268,-0.150203675031662
